iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,MtCO2e,737.98,747.52,752.48,760.42,780.49,811.88,820.28,776.51,778.95,774.02,771.88,761.22,752.00,767.82,803.73,830.72,861.51,882.77,899.56,921.94,960.28,996.57,997.59,1015.49,1027.23,1028.80,998.19,1007.13,1032.45,1044.97,1068.54,1121.36
USA,United States,MtCO2e,653.59,655.74,657.73,650.30,661.15,659.90,657.64,647.65,634.96,621.72,618.08,609.15,602.66,602.74,600.73,600.78,600.63,607.74,615.63,606.60,625.27,631.35,645.76,650.52,676.48,680.87,661.88,679.90,727.95,767.28,733.16,732.82
IND,India,MtCO2e,536.18,542.30,541.86,545.27,549.20,559.56,568.27,577.58,585.02,593.50,597.34,599.00,592.44,601.69,609.96,622.36,631.79,645.91,653.80,658.11,664.64,669.91,671.86,674.64,678.34,683.39,689.05,691.13,699.66,702.42,704.96,713.14
RUS,Russia,MtCO2e,655.87,623.49,585.21,565.08,543.70,523.61,516.97,485.83,489.01,484.82,493.07,500.25,514.85,550.64,557.20,572.00,568.70,578.57,574.87,561.75,577.93,587.04,582.51,581.44,587.99,591.02,609.68,620.76,646.50,654.20,649.61,665.25
BRA,Brazil,MtCO2e,292.57,301.57,306.94,308.05,314.39,320.52,312.54,321.66,338.74,339.89,335.48,350.42,374.33,389.84,407.73,418.51,409.97,418.04,410.21,411.83,442.41,432.84,437.92,430.93,439.83,449.95,450.82,452.04,440.94,453.02,462.32,466.40
IDN,Indonesia,MtCO2e,340.43,347.82,357.76,361.42,367.02,375.49,342.35,590.24,404.50,365.42,350.09,343.91,453.80,362.52,441.62,372.84,470.15,328.18,319.92,411.63,321.71,371.78,372.85,367.59,450.66,456.06,337.93,336.62,389.19,448.63,348.51,343.50
IRN,Iran,MtCO2e,104.51,110.22,115.25,120.91,121.68,124.29,128.73,130.71,131.12,132.12,140.29,139.45,135.92,150.45,156.15,161.22,166.01,168.71,166.36,167.15,170.61,171.21,161.12,157.04,160.54,165.34,192.79,201.45,199.70,175.70,169.34,185.80
PAK,Pakistan,MtCO2e,73.22,75.03,76.30,78.22,79.39,81.34,85.04,86.87,89.17,92.08,93.73,95.17,97.76,102.42,105.66,108.92,115.79,119.16,123.37,126.50,125.70,131.83,134.60,140.23,144.04,146.66,150.11,153.76,159.13,163.34,168.50,174.07
NGA,Nigeria,MtCO2e,152.66,160.51,166.46,168.37,170.83,167.45,179.93,172.61,161.26,149.22,151.07,145.10,133.73,145.73,150.99,152.64,149.34,145.94,142.75,140.22,152.16,153.50,153.00,150.27,151.40,150.71,148.34,151.27,151.86,156.76,152.95,149.20
MEX,Mexico,MtCO2e,103.14,105.00,104.53,112.20,113.18,112.92,114.32,118.19,125.04,119.63,122.49,120.11,123.44,129.66,129.16,131.15,133.44,133.61,134.44,133.42,134.46,137.89,136.92,131.38,138.81,146.04,146.14,144.04,144.38,145.25,147.00,149.00
AUS,Australia,MtCO2e,145.16,145.59,143.68,142.61,143.56,142.54,138.95,142.11,144.30,161.00,167.47,177.63,171.98,133.96,150.98,133.07,153.52,150.11,132.98,138.42,129.23,176.59,176.87,142.41,155.85,152.29,135.62,157.98,158.13,154.17,137.46,137.96
ARG,Argentina,MtCO2e,115.48,114.57,117.04,116.34,117.42,119.39,120.32,121.51,120.26,124.80,124.02,123.10,126.72,134.43,135.95,134.84,137.05,137.11,136.56,129.90,121.72,120.66,124.15,126.09,126.78,126.56,128.47,132.43,132.95,135.09,133.71,133.22
