iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,MtCO2e,296.28,303.91,309.80,301.60,315.14,358.79,384.86,356.78,365.83,381.46,376.31,378.48,397.20,401.66,417.56,427.88,440.71,449.64,465.53,476.38,488.86,497.84,509.83,523.06,534.81,549.83,551.99,549.08,545.91,513.44,515.54,522.93
IND,India,MtCO2e,146.98,151.13,155.27,158.82,164.53,168.04,171.15,176.29,180.21,183.68,180.03,184.24,178.10,186.66,194.33,202.88,212.63,223.26,226.72,235.52,243.17,248.76,250.10,248.20,250.40,253.74,253.22,259.59,265.67,273.05,282.94,285.13
USA,United States,MtCO2e,239.84,234.67,239.07,242.19,249.32,251.50,258.40,251.61,249.05,247.59,246.29,240.31,241.99,250.81,248.82,251.59,259.55,263.85,245.93,245.12,252.60,260.24,251.40,253.75,254.81,255.78,260.76,259.77,264.14,261.17,258.52,263.02
BRA,Brazil,MtCO2e,112.31,116.24,117.91,120.68,124.14,126.09,116.09,120.11,130.37,129.16,124.64,134.07,148.87,153.39,165.35,166.59,157.99,171.52,156.71,150.28,179.30,168.57,172.70,168.88,177.61,178.45,176.25,187.91,177.55,189.15,201.90,203.86
IDN,Indonesia,MtCO2e,40.74,40.98,43.12,42.12,43.75,45.97,47.36,57.06,53.50,44.65,45.45,45.60,49.52,48.45,51.57,51.16,54.10,53.19,55.15,59.49,57.82,61.10,63.24,60.75,64.84,65.64,64.49,70.33,74.26,74.41,75.73,76.64
PAK,Pakistan,MtCO2e,27.74,28.11,29.74,30.56,33.47,35.82,36.00,37.14,37.64,38.99,39.91,40.34,41.52,42.69,44.09,46.38,47.94,48.05,50.10,54.37,53.51,54.51,53.14,56.51,57.07,58.25,61.04,64.62,65.58,67.42,69.39,71.31
RUS,Russia,MtCO2e,111.90,99.95,98.20,90.25,76.88,71.72,72.97,63.54,62.08,58.09,59.91,59.75,60.95,62.96,58.21,56.46,57.94,57.38,65.69,61.16,60.70,63.49,64.24,60.67,67.23,62.77,67.17,66.31,68.37,70.39,70.94,70.75
CMR,Cameroon,MtCO2e,5.69,5.65,5.68,5.70,61.48,61.47,61.59,61.74,62.87,62.53,63.05,62.37,62.39,63.93,62.53,63.96,62.58,62.42,62.44,62.08,62.51,62.40,62.26,62.44,62.15,62.25,62.66,62.52,62.51,62.85,63.33,62.77
AUS,Australia,MtCO2e,78.27,77.60,76.00,75.92,76.71,74.89,71.31,72.13,75.38,93.00,99.58,110.18,103.96,65.57,85.39,63.08,84.56,78.31,61.78,67.38,54.48,106.72,107.19,64.73,76.77,72.64,58.34,80.03,78.51,71.89,54.93,58.64
ETH,Ethiopia,MtCO2e,23.65,23.36,23.91,21.68,21.97,22.16,23.06,24.05,26.22,26.36,24.82,25.86,28.81,27.75,28.74,30.26,31.73,35.53,36.28,37.59,39.44,38.97,41.12,41.73,43.43,44.37,46.08,47.03,47.08,51.28,54.74,52.47
ARG,Argentina,MtCO2e,35.56,35.44,36.16,35.70,36.64,36.69,37.45,37.93,37.52,38.07,39.47,38.60,39.46,43.60,43.87,43.40,44.67,47.20,45.86,40.29,41.29,42.36,41.84,43.67,43.48,43.08,46.07,48.98,47.96,49.90,51.81,51.18
CAN,Canada,MtCO2e,43.97,43.70,44.21,43.99,46.03,47.41,51.12,47.85,47.61,41.96,39.34,37.83,39.29,40.29,42.16,43.04,38.99,43.01,43.20,40.21,40.85,43.45,45.71,45.27,44.50,45.54,43.75,44.62,47.48,45.24,46.83,46.51
MEX,Mexico,MtCO2e,38.77,37.68,37.72,38.23,38.46,37.64,37.90,37.92,41.58,39.54,39.75,38.91,37.93,39.76,36.95,40.21,39.22,39.93,39.34,39.90,40.01,43.32,41.76,43.85,42.20,41.11,44.28,44.95,43.56,44.79,44.55,43.66
NGA,Nigeria,MtCO2e,20.74,21.19,21.65,22.25,22.63,22.83,26.42,26.72,28.72,28.57,29.27,26.68,26.92,28.19,28.20,30.46,30.32,29.81,30.56,29.88,32.25,33.31,34.54,35.73,36.14,36.09,38.55,39.75,39.97,40.90,41.04,41.20
IRN,Iran,MtCO2e,16.48,17.18,19.08,17.61,18.30,20.42,22.79,25.62,28.22,29.62,31.55,32.04,33.19,34.12,35.53,36.38,38.69,37.73,37.25,37.68,37.45,34.86,36.05,36.18,35.62,35.67,36.11,36.05,37.31,38.51,39.35,39.46
TUR,Turkey,MtCO2e,26.80,25.61,26.57,27.58,24.77,25.13,25.69,25.77,27.06,27.00,26.52,23.95,24.31,24.80,24.97,25.38,26.90,25.68,23.85,26.78,26.26,26.14,28.32,30.78,30.61,31.02,33.27,32.87,33.42,34.98,38.14,36.79
FRA,France,MtCO2e,61.69,62.15,60.05,60.29,61.06,61.89,64.15,63.52,56.34,51.62,49.49,50.23,47.75,47.64,45.07,43.90,43.08,44.16,42.34,40.15,39.06,37.10,37.70,38.65,38.91,39.52,38.03,39.73,37.99,37.41,36.62,35.37
